alg;size;order;timeTaken
mergeSort;large;p;1433468
mergeSort;large;r;1629374
quicksort;small;r;837
mergeSort;small;p;10740
bucketSort;medium;p;396977
bucketSort;small;p;13613
quicksort;small;o;54
bucketSort;small;p;13852
quicksort;small;o;51
bucketSort;large;o;12892060
mergeSort;medium;p;124790
mergeSort;medium;r;138805
bucketSort;small;o;14077
bucketSort;medium;p;444872
bucketSort;medium;r;413938
bucketSort;small;p;14867
mergeSort;large;o;1478655
quicksort;small;o;52
bucketSort;large;r;21496015
mergeSort;large;p;1622262
mergeSort;small;o;10016
bucketSort;medium;o;409715
bucketSort;medium;o;377939
mergeSort;medium;o;113602
mergeSort;small;r;13235
quicksort;large;o;5103
bucketSort;large;p;15834859
mergeSort;large;o;1306382
bucketSort;large;r;23978098
quicksort;medium;p;5458
bucketSort;small;o;13818
mergeSort;large;r;1643094
quicksort;medium;o;665
quicksort;medium;p;5468
quicksort;medium;r;11360
quicksort;large;r;176692
quicksort;large;p;74535
bucketSort;medium;p;390197
bucketSort;small;o;13090
quicksort;large;r;175720
bucketSort;medium;o;379201
quicksort;small;o;50
quicksort;medium;o;573
bucketSort;large;o;12367201
bucketSort;small;r;14719
bucketSort;small;o;13390
mergeSort;medium;p;126142
mergeSort;small;p;10927
quicksort;small;r;838
mergeSort;small;o;10077
mergeSort;large;r;1644372
quicksort;large;o;5081
mergeSort;small;p;11288
quicksort;medium;o;483
quicksort;small;o;49
mergeSort;medium;r;137556
quicksort;medium;r;11508
mergeSort;small;o;10182
quicksort;large;p;74336
quicksort;large;p;74821
bucketSort;large;r;21664828
quicksort;large;o;5339
mergeSort;medium;o;112627
bucketSort;medium;r;483801
quicksort;small;p;412
bucketSort;small;o;13629
quicksort;large;o;5077
quicksort;medium;p;5715
mergeSort;medium;p;123046
bucketSort;large;p;15299684
mergeSort;small;p;10717
bucketSort;medium;o;390233
bucketSort;small;r;14112
bucketSort;small;r;20930
quicksort;small;r;839
quicksort;small;r;837
bucketSort;small;r;14391
mergeSort;medium;r;143456
mergeSort;small;r;11351
quicksort;large;r;175230
bucketSort;large;p;16220227
bucketSort;medium;r;546471
quicksort;small;p;411
quicksort;large;r;172616
bucketSort;medium;p;394471
mergeSort;small;r;11442
quicksort;medium;r;11646
mergeSort;large;p;1485560
bucketSort;large;r;23360585
mergeSort;medium;p;121900
quicksort;small;p;411
bucketSort;large;o;11915116
quicksort;medium;p;5499
quicksort;small;r;873
quicksort;medium;r;11603
quicksort;large;o;5115
bucketSort;large;o;12114423
mergeSort;medium;p;122042
mergeSort;medium;o;114233
bucketSort;large;r;21786095
mergeSort;small;p;14184
mergeSort;large;r;1625072
bucketSort;medium;r;425170
mergeSort;large;o;1325421
bucketSort;medium;r;410187
mergeSort;large;p;1444514
bucketSort;large;o;12581259
bucketSort;small;r;13801
quicksort;medium;p;5461
mergeSort;medium;o;112590
quicksort;large;p;74534
bucketSort;medium;p;392062
quicksort;medium;o;681
quicksort;small;p;412
quicksort;medium;r;11584
quicksort;medium;o;471
quicksort;large;r;173868
mergeSort;small;o;10454
bucketSort;small;p;20567
mergeSort;medium;o;115612
mergeSort;large;o;1454924
mergeSort;large;p;1476076
bucketSort;large;p;15181232
mergeSort;small;o;10028
mergeSort;large;o;1319235
mergeSort;medium;r;137227
bucketSort;large;p;15203083
mergeSort;medium;r;137337
quicksort;small;p;442
mergeSort;large;r;1657819
mergeSort;small;r;11377
bucketSort;small;p;13808
bucketSort;medium;o;376823
mergeSort;small;r;11377
quicksort;large;p;76086
